ID,ls,submitted,action,size,symbol,price,type,status,fill_price,filled_or_cancelled
25,L,2020-01-27,BUY,100,IVV,324.87,MKT,FILLED,324.87,2020-01-27
24,L,2020-01-31,SELL,100,IVV,323.24,MKT,FILLED,323.24,2020-01-31
24,L,2020-01-24,BUY,100,IVV,330.23,MKT,FILLED,330.23,2020-01-24
24,L,2020-01-24,SELL,100,IVV,336.83,LIMIT,CANCELLED,,2020-01-31
23,L,2020-01-22,SELL,100,IVV,339.51,LIMIT,CANCELLED,,2020-01-29
23,L,2020-01-29,SELL,100,IVV,328.1,MKT,FILLED,328.1,2020-01-29
23,L,2020-01-22,BUY,100,IVV,332.85,MKT,FILLED,332.85,2020-01-22
22,S,2020-01-13,BUY,100,IVV,322.84,LIMIT,CANCELLED,,2020-01-21
22,S,2020-01-21,BUY,100,IVV,332.78,MKT,FILLED,332.78,2020-01-21
22,S,2020-01-13,SELL,100,IVV,329.43,MKT,FILLED,329.43,2020-01-13
21,S,2020-01-09,BUY,100,IVV,321.49,LIMIT,CANCELLED,,2020-01-16
21,S,2020-01-16,BUY,100,IVV,332.4,MKT,FILLED,332.4,2020-01-16
21,S,2020-01-09,SELL,100,IVV,328.05,MKT,FILLED,328.05,2020-01-09
20,S,2020-01-08,BUY,100,IVV,319.33,LIMIT,CANCELLED,,2020-01-15
20,S,2020-01-15,BUY,100,IVV,329.66,MKT,FILLED,329.66,2020-01-15
20,S,2020-01-08,SELL,100,IVV,325.85,MKT,FILLED,325.85,2020-01-08
19,L,2020-01-03,SELL,100,IVV,330.29,LIMIT,CANCELLED,,2020-01-10
19,L,2020-01-10,SELL,100,IVV,327.14,MKT,FILLED,327.14,2020-01-10
19,L,2020-01-03,BUY,100,IVV,323.81,MKT,FILLED,323.81,2020-01-03
18,L,2020-01-09,SELL,100,IVV,328.05,MKT,FILLED,328.05,2020-01-09
18,L,2020-01-02,BUY,100,IVV,326.32,MKT,FILLED,326.32,2020-01-02
18,L,2020-01-02,SELL,100,IVV,332.85,LIMIT,CANCELLED,,2020-01-09
17,S,2019-11-27,BUY,100,IVV,310.9,LIMIT,FILLED,308.88,2019-12-03
17,S,2019-11-27,SELL,100,IVV,317.25,MKT,FILLED,317.25,2019-11-27
16,S,2019-11-25,BUY,100,IVV,308.8,LIMIT,CANCELLED,,2019-12-03
16,S,2019-12-03,BUY,100,IVV,311.25,MKT,FILLED,311.25,2019-12-03
16,S,2019-11-25,SELL,100,IVV,315.1,MKT,FILLED,315.1,2019-11-25
15,S,2019-11-22,BUY,100,IVV,306.49,LIMIT,CANCELLED,,2019-12-02
15,S,2019-12-02,BUY,100,IVV,313.41,MKT,FILLED,313.41,2019-12-02
15,S,2019-11-22,SELL,100,IVV,312.74,MKT,FILLED,312.74,2019-11-22
14,L,2019-11-20,SELL,100,IVV,318.77,LIMIT,CANCELLED,,2019-11-27
14,L,2019-11-27,SELL,100,IVV,317.25,MKT,FILLED,317.25,2019-11-27
14,L,2019-11-20,BUY,100,IVV,312.52,MKT,FILLED,312.52,2019-11-20
13,S,2019-11-14,BUY,100,IVV,311.3,MKT,FILLED,311.3,2019-11-14
13,S,2019-11-07,SELL,100,IVV,309.98,MKT,FILLED,309.98,2019-11-07
13,S,2019-11-07,BUY,100,IVV,303.78,LIMIT,CANCELLED,,2019-11-14
12,S,2019-11-05,SELL,100,IVV,308.74,MKT,FILLED,308.74,2019-11-05
12,S,2019-11-12,BUY,100,IVV,310.69,MKT,FILLED,310.69,2019-11-12
12,S,2019-11-05,BUY,100,IVV,302.57,LIMIT,CANCELLED,,2019-11-12
11,S,2019-07-01,BUY,100,IVV,291.37,LIMIT,CANCELLED,,2019-07-09
11,S,2019-07-09,BUY,100,IVV,299.03,MKT,FILLED,299.03,2019-07-09
11,S,2019-07-01,SELL,100,IVV,297.32,MKT,FILLED,297.32,2019-07-01
10,S,2019-06-26,BUY,100,IVV,286.24,LIMIT,CANCELLED,,2019-07-03
10,S,2019-07-03,BUY,100,IVV,300.48,MKT,FILLED,300.48,2019-07-03
10,S,2019-06-26,SELL,100,IVV,292.08,MKT,FILLED,292.08,2019-06-26
9,L,2019-06-20,SELL,100,IVV,301.94,LIMIT,CANCELLED,,2019-06-27
9,L,2019-06-27,SELL,100,IVV,293.28,MKT,FILLED,293.28,2019-06-27
9,L,2019-06-20,BUY,100,IVV,296.02,MKT,FILLED,296.02,2019-06-20
8,L,2019-06-19,SELL,100,IVV,299.1,LIMIT,CANCELLED,,2019-06-26
8,L,2019-06-26,SELL,100,IVV,292.08,MKT,FILLED,292.08,2019-06-26
8,L,2019-06-19,BUY,100,IVV,293.24,MKT,FILLED,293.24,2019-06-19
7,S,2019-06-11,SELL,100,IVV,290.95,MKT,FILLED,290.95,2019-06-11
7,S,2019-06-18,BUY,100,IVV,292.45,MKT,FILLED,292.45,2019-06-18
7,S,2019-06-11,BUY,100,IVV,285.13,LIMIT,CANCELLED,,2019-06-18
6,S,2019-06-10,BUY,100,IVV,285.18,LIMIT,CANCELLED,,2019-06-17
6,S,2019-06-17,BUY,100,IVV,289.74,MKT,FILLED,289.74,2019-06-17
6,S,2019-06-10,SELL,100,IVV,291.0,MKT,FILLED,291.0,2019-06-10
5,L,2019-05-07,SELL,100,IVV,295.71,LIMIT,CANCELLED,,2019-05-14
5,L,2019-05-14,SELL,100,IVV,285.32,MKT,FILLED,285.32,2019-05-14
5,L,2019-05-07,BUY,100,IVV,289.91,MKT,FILLED,289.91,2019-05-07
4,S,2019-05-02,BUY,100,IVV,287.39,LIMIT,FILLED,285.23,2019-05-09
4,S,2019-05-02,SELL,100,IVV,293.26,MKT,FILLED,293.26,2019-05-02
3,L,2019-04-26,SELL,100,IVV,301.38,LIMIT,CANCELLED,,2019-05-03
3,L,2019-05-03,SELL,100,IVV,296.01,MKT,FILLED,296.01,2019-05-03
3,L,2019-04-26,BUY,100,IVV,295.47,MKT,FILLED,295.47,2019-04-26
2,L,2019-03-22,SELL,100,IVV,286.78,LIMIT,CANCELLED,,2019-03-29
2,L,2019-03-29,SELL,100,IVV,284.56,MKT,FILLED,284.56,2019-03-29
2,L,2019-03-22,BUY,100,IVV,281.16,MKT,FILLED,281.16,2019-03-22
1,L,2019-03-20,SELL,100,IVV,289.06,LIMIT,CANCELLED,,2019-03-27
1,L,2019-03-20,BUY,100,IVV,283.39,MKT,FILLED,283.39,2019-03-20
1,L,2019-03-27,SELL,100,IVV,281.58,MKT,FILLED,281.58,2019-03-27
0,S,2019-03-19,BUY,100,IVV,279.83,LIMIT,FILLED,279.53,2019-03-25
0,S,2019-03-19,SELL,100,IVV,285.54,MKT,FILLED,285.54,2019-03-19
